Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean
,5.0,8.0,,,
,3.0,7.7,,,
27.0,6.7,8.1,2520.0,6.0,41.0
29.0,8.2,8.4,606.0,,
,,,,,
30.0,5.6,7.5,41.0,7022.0,13410.0
30.4,5.5,6.7,209.0,1893.0,2915.0
30.8,5.5,7.1,123.0,3293.0,6264.0
30.3,5.3,7.3,182.0,1976.0,3080.0
30.1,6.0,7.6,100.0,5129.0,6086.0
29.9,5.7,6.9,111.0,939.0,3061.0
29.1,6.4,7.1,140.0,4464.0,7908.0
29.9,6.2,7.8,44.0,9429.0,9320.0
29.8,6.1,7.6,43.0,6668.0,9554.0
27.9,7.0,6.9,64.0,1641.0,2841.0
28.2,6.6,6.5,62.0,4073.0,7190.0
29.6,7.0,6.8,304.0,12140.0,23867.0
28.8,7.0,7.0,55.0,1298.0,2813.0
29.5,6.3,7.6,213.0,3803.0,7069.0
29.8,6.7,6.8,83.0,2140.0,3559.0
29.7,7.1,6.6,76.0,2367.0,3527.0
28.7,6.7,6.6,107.0,2461.0,3757.0
27.9,7.2,6.7,89.0,832.0,1996.0
29.3,4.2,6.7,192.0,4448.0,9286.0
28.6,6.3,6.6,79.0,2830.0,6054.0
29.8,5.6,7.7,142.0,1831.0,3644.0
28.6,2.8,6.4,424.0,12658.0,21036.0
30.6,5.2,7.1,306.0,1411.0,1525.0
30.3,5.6,7.7,40.0,4153.0,7130.0
30.4,5.5,7.7,40.0,7086.0,12282.0
29.6,6.9,6.7,63.0,691.0,1132.0
29.6,6.3,7.6,227.0,3622.0,3612.0
29.5,7.1,6.6,68.0,4124.0,8167.0
26.7,6.9,7.7,121.0,77.0,163.0
29.3,7.2,8.2,112.0,39.0,94.0
28.0,6.9,7.7,103.0,48.0,103.0
28.2,6.9,7.6,104.0,37.0,79.0
26.5,6.4,7.4,1003.0,524.0,753.0
20.7,6.3,8.3,408.0,64.0,157.0
27.2,6.7,7.8,105.0,43.0,89.0
27.5,6.3,7.6,209.0,48.0,98.0
26.0,5.9,7.6,13768.0,166.0,300.0
26.5,7.3,7.7,86.0,50.0,93.0
27.0,3.6,7.4,6487.0,534.0,745.0
27.3,6.3,8.3,999.0,4.0,112.0
28.7,7.2,7.7,125.0,39.0,89.0
28.4,7.1,7.5,127.0,17.0,63.0
28.7,7.1,7.4,5300.0,388.0,667.0
28.7,7.2,7.6,127.0,22.0,51.0
28.7,7.0,7.6,126.0,20.0,63.0
28.7,7.2,7.6,126.0,29.0,64.0
28.7,7.1,7.8,112.0,43.0,88.0
29.3,6.8,7.7,9590.0,3.0,124.0
28.3,6.8,7.4,174.0,4.0,124.0
28.7,6.8,7.6,2572.0,4.0,118.0
29.2,6.7,7.8,6030.0,4.0,138.0
28.7,6.8,7.7,7207.0,3.0,120.0
27.2,6.8,8.1,167.0,32.0,85.0
27.2,6.8,8.0,173.0,53.0,98.0
27.2,7.0,8.0,168.0,44.0,83.0
28.0,6.9,7.9,131.0,41.0,96.0
26.2,7.0,7.6,125.0,33.0,63.0
26.2,7.2,7.5,132.0,38.0,88.0
28.2,7.2,7.7,119.0,35.0,68.0
24.5,6.9,7.5,159.0,3.0,82.0
24.5,6.7,7.7,141.0,4.0,90.0
24.5,7.3,7.7,132.0,3.0,88.0
24.0,6.4,7.3,76.0,199.0,788.0
24.9,6.0,7.1,85.0,262.0,538.0
24.3,6.3,7.1,69.0,248.0,593.0
24.8,6.5,7.3,76.0,226.0,545.0
26.4,6.7,6.6,60.0,228.0,435.0
27.0,7.0,6.6,3544.0,208.0,435.0
26.6,6.7,7.3,51.0,547.0,1567.0
28.6,6.9,7.7,107.0,255.0,443.0
28.8,6.7,7.9,173.0,191.0,426.0
28.0,5.6,6.9,126.0,266.0,990.0
27.4,7.3,7.4,70.0,2984.0,4208.0
27.5,6.9,7.4,12754.0,1807.0,2557.0
26.8,7.1,7.4,80.0,1921.0,2831.0
30.0,7.2,6.9,62.0,33.0,150.0
28.8,3.4,6.7,2965.0,271.0,1236.0
27.4,6.1,7.2,15871.0,1667.0,2975.0
24.8,6.4,7.2,120.0,258.0,618.0
23.6,6.2,7.2,7448.0,184.0,483.0
29.8,6.6,6.9,77.0,264.0,756.0
30.2,6.8,7.0,72.0,249.0,785.0
28.2,2.9,6.7,305.0,403.0,1623.0
27.7,3.0,6.6,86.0,357.0,1319.0
23.9,6.7,7.1,79.0,313.0,738.0
27.4,3.6,7.3,32790.0,64259.0,112867.0
27.8,6.1,7.8,2905.0,422.0,997.0
26.4,6.9,7.4,112.0,50.0,67.0
29.6,7.0,6.9,51.0,44.0,317.0
27.0,3.1,7.2,1416.0,2992.0,19917.0
26.3,7.0,7.1,30.0,211.0,496.0
30.0,6.1,7.0,59.0,89.0,282.0
28.0,6.0,6.4,61.0,87.0,300.0
30.1,6.3,7.0,105.0,142.0,543.0
27.9,6.9,8.1,502.0,382.0,615.0
27.0,5.9,6.7,14662.0,144.0,377.0
26.0,7.8,6.8,49.0,122.0,319.0
27.7,7.1,7.4,380.0,1527.0,66382.0
27.1,7.3,7.2,67.0,6490.0,3471.0
26.5,6.2,7.2,51.0,331.0,942.0
28.5,7.2,6.8,69.0,706.0,941.0
28.7,6.9,6.7,75.0,526.0,701.0
25.7,6.3,7.4,113.0,98.0,128.0
29.3,7.6,6.8,79.0,48.0,109.0
27.0,7.0,7.2,57.0,2117.0,3558.0
30.9,5.9,7.0,22576.0,42.0,253.0
27.1,6.8,7.2,105.0,1200.0,2392.0
30.3,6.3,6.7,2315.0,55.0,278.0
30.4,6.4,6.9,18569.0,40.0,277.0
26.2,6.6,7.3,45.0,228.0,940.0
26.2,6.9,7.2,42.0,151.0,774.0
