sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,TurbidityNTU,Tot Coli CMF,E.coli Pres,E.coli Conf,E.coli C-MF,E.coli PMF,Colfm PMF10,E.coli C-MPN,ColfmF Conf,Colfrm Conf,ColfmF MF10,ColformsPre,F Coli Pre,,
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-11-24T13:45:00,612,8.19,12.3,7.5,1,37800,,,,,,,12000,,,42000,15000,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-11-24T13:30:00,583,7.27,10.4,7.7,1,5840,,,,,,,1727,,,7300,1727,,
NW-88003186,CARR BROOK AT A59 ROAD,2011-11-11T14:00:00,723,9.37,10.5,7.6,1,900,,,,,,,171,,,1000,171,,
SO-E0017473,SHEPPEY-SHELLFISH WATER,2011-11-01T13:30:00,518,8.62,13.041,8.121,42.2,70000,,,,,,,10,,,100000,10,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-11-01T12:45:00,732,5.97,12.6,7.2,1,156000,,,,,,,45900,,,260000,51000,,
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-11-01T12:15:00,901,8.43,12.7,7.5,1,8800,,,,,,,2880,,,11000,3200,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-10-31T10:05:00,568,9.34,12.7,7.3,1,24500,,,,,,,7000,,,35000,10000,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-10-27T13:30:00,747,6.68,10.2,7.9,1,1890,,,,,,,1236,,,2100,1545,,
NW-88022926,BATHING WATER CATCHMENT WALK PROJECT,2011-10-27T13:15:00,656,8.11,12.9,8,1,62000,,,1273,,,,42000,,,62000,42000,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-10-27T13:00:00,673,6.44,10.3,8,1,2800,,,,,,,1545,,,3500,1545,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-10-06T12:20:00,574.2,7.22,13.8,7.98,1,100000,,,,,,,64800,,,100000,72000,,
NW-88003186,CARR BROOK AT A59 ROAD,2011-10-06T11:00:00,602.9,8.23,11.7,7.37,1,36000,,,,,,,33000,,,45000,33000,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-10-05T14:05:00,788,8.8,16.5,7.9,1,25200,,,,,,,5600,,,36000,5600,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-10-05T13:40:00,810,6.02,15.5,7.84,1,273,,,,,,,81,,,364,81,,
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-10-05T13:25:00,968,7.76,16.3,7.87,1,450,,,,,,,225,,,450,250,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-10-05T13:00:00,650,6.1,15.4,7.6,1,1400,,,,,,,230,,,2000,230,,
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-10-05T12:50:00,666,7.08,16.4,7.6,1,46800,,,,,,,22400,,,52000,28000,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-10-05T12:40:00,888,4.22,14.7,7.34,1,4200,,,,,,,432,,,4200,540,,
AN-WELL280T,R.WELLAND TINWELL PUMPING STATION,2011-09-30T11:00:00,869,7.35,15.73,7.85,2.6,,,,,,,,,,,2200,269,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2011-09-22T13:07:00,38339,8.83,14.78,8.22,4.9,420,,,,,,,73,,,420,104,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-08-31T13:45:00,1004,7.68,15.3,8.2,1,12600,,,,,,,1464,,,14000,2440,,
SO-DUMPBWKS,DUMP BATHING WATERS KES,2011-08-31T13:20:00,33992,6.38,15,7.7,1,3200,,,,,,,2600,,,27,48,,
SW-81942210,RIVER KENWYN AT KENWYN GAUGING STATION,2011-08-30T11:30:00,300,9.92,12.6,7.7,1,10,,,,,,,2,,,61000,25000,,
SW-50024527,BRANKSOME CHINE (19170),2011-08-30T11:20:00,614,6.88,17.5,8.01,1,10,,,11,,,,,,,10,11,,
SW-70614728,BABBACOMBE BEACH (23400),2011-08-30T10:35:00,716,6.44,16.7,7.9,1,636,,,,,,,323,,,636,462,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-08-30T10:20:00,892,5.99,13.2,7.7,1,1364,,,,,,,269,,,1364,346,,
SO-F0017447,ALDINGBOURNE RIFE LONGBROOK ROAD,2011-08-30T10:10:00,595,7.38,12.44,7.7,1,27,,,11,,,,,,,36,27,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-08-30T10:05:00,944,5.89,13,8.15,1,2300,,,,,,,198,,,2300,346,,
SW-82315140,TREVAUNANCE COVE BEACH (31700),2011-08-25T14:00:00,288,10.3,17.18,7.62,1,18,,,30,,,,,,,18,30,,
SO-E0001201,GREAT STOUR SPORTS GROUND L/W,2011-08-18T11:30:00,1444,7.03,18.12,8.04,74,,,,,,,,800,,,,1000,,
SW-73110517,TRIB OF HELE STREAM AT HELE MILL,2011-08-16T11:25:00,387,7.23,14.7,7.92,1,10,,,10,,,,23,,,10,731,,
NW-88003186,CARR BROOK AT A59 ROAD,2011-08-09T09:40:00,613,4.46,13.4,7.9,1,13600,,,,,,,4000,,,17000,7000,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-08-09T09:25:00,753,5.02,16.5,7.72,1,162,,,,,,,50,,,162,56,,
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-08-09T09:15:00,552,6.29,17,7.92,1,342,,,,,,,154,,,380,192,,
SW-70514559,CORYTON COVE     DAWLISH (22600),2011-08-08T14:00:00,500,7.5,18.5,7.9,1,10,,,18.5,,,,,,,10,27,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2011-08-08T13:40:00,515,7.9,17.8,8.16,1,650,,,,,,,554,,,650,615,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-08-08T13:00:00,485,6.33,14.8,7.6,1,2900,,,,,,,38,,,2900,192,,
SW-82410232,RIVER GANNEL AT TREVEMPER,2011-08-08T12:50:00,521,6.09,16,7.5,1,49500,,,,,,,21000,,,3300,2120,,
SW-70613404,KIRKHAM STREAM MANHOLE LHS LOOKING U/S,2011-07-26T10:10:00,426.2,8.96,15.3,8.288,3.9,10,,,,,,,2,,,10,14000,,
SW-70710124,DARTMOUTH CASTLE AND SUGARY COVE (24700),2011-07-21T12:40:00,52799,7.2,16.3,8.16,1,10,,,2,,,,,,,10,2,,
SW-81940113,TRESSILIIAN SHELLFISH WATER SITE,2011-07-20T10:45:00,2141,6.84,15.572,8.083,1,65,,,66.5,,,,48,,,108,68,,
SW-81510177,RIVER FOWEY UPSTREAM FOWEY,2011-07-19T14:15:00,51203,7.3,16.6,8.12,1,10,,,,,,,2,,,210,58,,
SW-81310201,RIVER SEATON AT SEATON BEACH,2011-07-19T12:45:00,267,10.6,13.33,7.52,1,10,1960,,1960,,,,8,,,19000,8000,,
SW-70910236,MOTHECOMBE STREAM AT BEACH,2011-07-19T10:10:00,530,6.94,14.5,8.13,2.3,,,,,,,,2,,,,500,,
SW-70511008,LITTLEHAM STREAM AT EXMOUTH BEACH,2011-07-13T10:40:00,892,7.38,14.5,8.17,1,10,,,,,,,2,,,10,500,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2011-07-07T10:01:00,48345,7.38,17.964,8.08,70.6,320,,,,,,,116,,,320,231,,
AN-WELL280T,R.WELLAND TINWELL PUMPING STATION,2011-07-01T13:25:00,851,12.6,16.73,8.04,2.5,,,,,,,,,,,560,308,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-06-30T14:33:00,886,10.4,18.1,8.1,1,16800,,,,,,,4000,,,21000,6000,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-06-30T14:03:00,810,7.19,19.3,8.04,1,320,,,,,,,92,,,320,92,,
SW-50220136,RIVER NADDER AT WILTON,2011-06-30T13:50:00,920,10.2,15.65,8.45,1,480,269,,192,,,,269,,,480,269,,
NW-88003186,CARR BROOK AT A59 ROAD,2011-06-30T13:06:00,830,10.3,15.9,8.15,1,11700,,,,,,,7000,,,13000,7000,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-06-30T12:49:00,704,8.16,15.6,7.68,1,1718,,,,,,,504,,,1909,840,,
SW-81218801,INVESTIGATION IN CATCHMENT 12A,2011-06-30T12:39:00,626,7.24,16.8,7.5,1,100000,,,,,,,100000,,,63,50,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-06-30T12:29:00,1271,10.9,14.7,8.4,1,2600,,,,,,,692,,,2600,692,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2011-06-28T13:08:00,167,9.46,17.9,7.7,5.1,3360,1040,,728,,,,832,,,5600,1040,,
SO-F0001807,THORNHAM CHANNEL-SFW,2011-06-28T12:37:00,114,8.3,18.83,7.8,1.8,10,800,,720,,,,2,,,10,2,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-06-24T14:34:00,635,8.46,16.6,8,1,35000,,,,,,,12000,,,50000,12000,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-06-22T10:20:00,677,8.07,16,7.9,1,100000,,,,,,,50000,,,100000,50000,,
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-06-22T09:30:00,903,9.56,17.9,8.3,1,1455,,,,,,,960,,,1455,960,,
SW-81310201,RIVER SEATON AT SEATON BEACH,2011-06-21T12:00:00,282.4,9.57,13.7,7.74,1,184,,,,,,,122,,,2500,1560,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-06-20T13:13:00,984,9.23,19.4,8.05,1,290,,,,,,,78,,,290,78,,
SO-F0001843,BIRLING GAP (14550),2011-06-20T12:08:00,1619,5.91,16.91,7.82,1,,,,10,,,,,,,,,,
SW-60041600,UPHILL GREAT RHYNE AT UPHILL SLUICE,2011-06-20T11:44:00,741,6.55,16.2,7.9,1,3200,,,,,,,154,,,100000,100000,,
SW-E8900900,WESTON UPHILL SLIPWY (35700),2011-06-20T11:30:00,643,7.26,17.2,7.2,1,27,34,,18,,,,,,,27,23,,
SW-70314532,SIDMOUTH (JACOBS LADDER) BEACH (21900),2011-06-20T11:10:00,900,10.1,14.5,8.1,1,10,,,2,,,,,,,10,4,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2011-06-14T16:17:00,45292,7.63,17.77,8.06,62.8,54,,,54,,,,,,,72,54,,
SW-82514969,TOWAN BEACH     NEWQUAY (32300),2011-06-03T14:50:00,300,8.81,13.41,7.75,1,10,,,2,,,,,,,10,2,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2011-06-02T12:54:00,321,9.19,14.9,7.9,3.4,2240,920,,736,,,,736,,,2800,920,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2011-05-12T12:29:00,34823,9.03,15.41,8.23,20.8,1019,,,,,,,296,,,1455,423,,
SO-E0001201,GREAT STOUR SPORTS GROUND L/W,2011-05-10T14:14:00,1335,12.5,19.85,8.82,62.2,,,,,,,,115,,,,269,,
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-05-10T10:26:00,968,9.5,14.8,8.4,1,360,,,,,,,154,,,450,231,,
SW-72815051,HARTLAND QUAY BEACH (33800),2011-05-10T10:10:00,841,12,13.91,9.2,1,10,,,4,,,,,,,10,4,,
SO-G0003619,BEAULIEU RIVER-SHELLFISH WATER,2011-05-06T13:45:00,52844,9.23,14.36,8.3,1,18,,,10,,,,,,,18,2,,
SW-82710418,WOODKNOWLE BROOK AT TITSON BRIDGE,2011-05-06T12:05:00,942,8.13,15,7.9,1,24000,,,,,,,6000,,,1636,1200,,
NW-88003186,CARR BROOK AT A59 ROAD,2011-05-06T11:25:00,1272,4.96,12.7,7.8,1,50000,,,,,,,53000,,,50000,53000,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-05-06T11:01:00,975,7.11,13.8,7.8,1,28000,,,,,,,18000,,,35000,18000,,
SW-60041600,UPHILL GREAT RHYNE AT UPHILL SLUICE,2011-05-06T10:27:00,695,5.27,11.9,7.7,1,90000,,,,,,,32000,,,28000,12000,,
SW-E0900560,DUNSTER NORTHWEST (35100),2011-05-06T10:15:00,49245,7.61,13.4,7.7,1,18,,,14,,,,,,,36,10,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-05-05T13:41:00,814,10.6,13.2,8.2,1,1802,,,,,,,1680,,,1802,1680,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2011-05-05T13:33:00,329,10.3,13.1,8.2,2.5,6000,1840,,1472,,,,1656,,,10000,1840,,
AN-WELL280T,R.WELLAND TINWELL PUMPING STATION,2011-04-21T13:15:00,650,10,13,8.51,3.8,,,,,,,,,,,350,27,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-04-20T12:43:00,910,7.13,15.7,7.64,1,17500,,,,,,,8000,,,25000,10000,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2011-04-14T13:33:00,21166,10.2,10.61,8.24,30.9,273,,,,,,,234,,,909,260,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-04-13T13:23:00,760,9.67,9.1,7.7,1,1840,,,,,,,1171,,,2300,1171,,
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-04-13T13:00:00,670,10.3,11.7,7.6,1,51000,,,,,,,20700,,,170000,23000,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-04-13T12:41:00,799,8.34,9.4,7.9,1,1455,,,,,,,522,,,1455,580,,
NW-88003186,CARR BROOK AT A59 ROAD,2011-04-13T12:25:00,730,11.1,9.2,8.5,1,81000,,,,,,,6300,,,270000,6300,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-04-13T11:47:00,723,9.62,10.3,7.9,1,27900,3500,,2800,,,,5200,,,31000,13000,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-04-13T11:03:00,773,12.2,11.7,8.45,1,118,,,,,,,10,,,590,18,,
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-04-01T13:48:00,1000,10,12.1,8.15,1,1100,,,,,,,28,,,2200,280,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2011-03-30T13:42:00,296,11,9.7,8.1,4.5,6600,1636,,982,,,,982,,,11000,1636,,
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-03-17T13:45:00,630,10.2,9.7,7.8,1,16100,,,,,,,3960,,,23000,4400,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-03-17T13:30:00,632,10.9,7.6,7.7,1,1760,,,,,,,100,,,2200,250,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-03-17T13:15:00,711,12.2,8,7.8,1,702,,,,,,,208,,,780,260,,
NW-88003186,CARR BROOK AT A59 ROAD,2011-03-17T13:00:00,643,12.7,7.6,7.8,1,1800,,,,,,,408,,,4500,510,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-03-17T12:43:00,654,10.7,8.5,7.8,1,14000,,,,,,,3200,,,14000,3200,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-03-17T12:23:00,795,10.3,9,7.7,1,25200,,,,,,,1560,,,28000,2600,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-03-17T11:30:00,689,9.15,7.8,7.6,1,1336,,,,,,,300,,,1909,300,,
SW-70614869,HOLLICOMBE BEACH (23900),2011-03-17T11:10:00,849,11.3,7.3,7.6,1,4000,,,,,,,1036,,,10,10,,
NE-45600221,BLUE PIPE FROM CLIFF LIFT,2011-03-02T14:18:00,1405,11.4,6.27,8.74,1,4770,,,,,,,1046,,,5300,2091,,
NE-45600178,PIT HILLS STELL CONFLUENCE ONTO BEACH,2011-03-02T13:58:00,1130,11.7,5.68,8.9,1,1450,,,,,,,650,,,2900,650,,
NE-45600190,SKELTON BK DS RD BR BY BEACH,2011-03-02T10:52:00,899,12.7,4.93,8.28,1,3800,,,,,,,666,,,7600,740,,
NE-45600076,SALTBURN GILL U/S SKELTON BECK CONF,2011-03-02T10:25:00,1024,11.9,5.3,7.84,1,721,,,,,,,89,,,1441,99,,
NE-45600179,SKELTON BK 3M U/S SALTBURN GILL CONF,2011-03-02T10:22:00,994,13,4.65,8.35,1,1000,,,,,,,545,,,8000,909,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2011-02-22T18:44:00,5764,11.5,5.317,8.217,120,1960,,,,,,,1802,,,2800,1802,,
NE-45600221,BLUE PIPE FROM CLIFF LIFT,2011-02-22T14:56:00,1414,12,6.08,8.56,1,5855,,,,,,,360,,,8364,3600,,
NE-45600178,PIT HILLS STELL CONFLUENCE ONTO BEACH,2011-02-22T14:39:00,1321,12,5.65,8.85,1,1280,,,,,,,310,,,3200,3100,,
NE-45600190,SKELTON BK DS RD BR BY BEACH,2011-02-22T11:38:00,1142,14,5.34,8.24,1,1300,,,,,,,460,,,2600,460,,
NE-45600076,SALTBURN GILL U/S SKELTON BECK CONF,2011-02-22T11:09:00,1204,12.2,5.62,7.64,1,4770,,,,,,,800,,,5300,800,,
NE-45600179,SKELTON BK 3M U/S SALTBURN GILL CONF,2011-02-22T11:03:00,1182,14.8,4.97,8.07,1,4320,,,,,,,1146,,,4800,1273,,
SW-81310201,RIVER SEATON AT SEATON BEACH,2011-02-14T15:00:00,255.8,11.8,7.7,7.33,1,10,,,,,,,10,,,4900,3000,,
SO-E0001201,GREAT STOUR SPORTS GROUND L/W,2011-02-10T13:06:00,1485,10.5,8.05,8.05,63.2,12727,,,,,,,3200,,,12727,3200,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-02-02T13:00:00,579,11.5,5.7,7.6,1,4300,,,,,,,1800,,,4300,2000,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-02-02T12:54:00,1038,12.5,4.29,7.91,11.1,,,,,,,,,,,14000,8727,,
SW-81110217,LAIRA STREAM PRIOR TO PLYM,2011-02-02T12:45:00,585,11.3,6.9,7.6,1,12600,,,10,,,,3520,,,360,126,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-02-02T12:35:00,680,10.5,5.9,7.7,1,10500,,,,,,,4060,,,15000,5800,,
SW-82211515,STENNACK STREAM AT FIRE STATION,2011-02-02T12:20:00,649,12.3,5.1,7.8,1,5400,,,,,,,2700,,,650,153,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-02-02T12:00:00,8200,13.3,4.5,7.8,1,10200,,,,,,,6600,,,17000,11000,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-02-02T11:40:00,848,12,6.1,7.6,1,11900,,,,,,,6000,,,17000,6000,,
SW-81111118,HOOE LAKE AT CUTTING,2011-02-02T10:55:00,800,10.8,4.1,7.5,1,5600,,,,,,,5760,,,28000,14000,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-02-02T10:44:00,231,12.4,3.24,7.36,13.4,,,,,,,,,,,16000,4700,,
SW-82311620,ROSEMUNDY STREAM AT ROSEMUNDY,2011-02-02T10:30:00,962,11.2,3.6,7.5,1,355,,,,,,,360,,,22000,26000,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-02-02T10:24:00,337,10.7,3.58,7.21,22.2,,,,60,,,,,,,63,36,,
NE-45600221,BLUE PIPE FROM CLIFF LIFT,2011-02-01T14:34:00,1473,10.3,6.1,8.43,1,20800,,,,,,,6364,,,26000,12727,,
NE-45600178,PIT HILLS STELL CONFLUENCE ONTO BEACH,2011-02-01T14:21:00,16.48,1.41,4.69,8.63,1,4000,,,,,,,550,,,8000,550,,
NE-45600190,SKELTON BK DS RD BR BY BEACH,2011-02-01T10:54:00,1290,12.7,4.83,7.89,1,80000,,,100000,,,,100000,,,100000,100000,,
SO-E0001326,PEGWELL BAY (SURFACE),2011-02-01T10:28:00,1772,10.5,4.277,8.161,0.5,480,,,,,,,10,,,600,18,,
NE-45600179,SKELTON BK 3M U/S SALTBURN GILL CONF,2011-02-01T10:23:00,1147,13.2,4.49,7.82,1,,,,100000,,,,,,,,,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T13:02:00,527,11.9,3.52,7.45,10.9,,,,30,,,,,,,126,108,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T12:44:00,743,7.27,6.48,7.27,11.2,,,,,,,,,,,100000,78000,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T12:29:00,430,12.3,2.38,7.27,10.8,,,,158,,,,,,,200,117,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T12:19:00,428,4.06,3.33,7.28,10.2,,,,215.5,,,,,,,260,171,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T12:08:00,433,12.5,2.96,7.41,13.9,,,,,,,,,,,818,189,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T11:56:00,534,13.3,2.68,7.64,26.2,,,,380,,,,,,,400,420,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T11:39:00,458,12.5,2.61,7.32,28.3,,,,,,,,,,,72,10,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T11:10:00,511,12.5,2.9,7.55,10.8,,,,,,,,,,,18000,1182,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T10:50:00,714,10.1,3.05,7.09,32.3,,,,,,,,,,,40000,13000,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T10:40:00,447,13.5,2.2,7.24,32.5,,,,121.5,,,,,,,90,153,,
SO-DUMPARUN,DUMP ARUN AND ADUR,2011-01-31T10:12:00,673,10.7,3.24,7.34,14.9,,,,,,,,,,,41000,6600,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2011-01-27T10:38:00,1353,11.3,4.5,8.15,93.4,1036,,,,,,,500,,,1727,500,,
AN-WELL280T,R.WELLAND TINWELL PUMPING STATION,2011-01-20T12:45:00,702,12,3.81,7.66,7.6,,,,,,,,,,,2000,620,,
NE-45600178,PIT HILLS STELL CONFLUENCE ONTO BEACH,2011-01-11T13:48:00,800,12.9,4.54,8.38,1,2600,,,,,,,811,,,2600,901,,
NE-45600190,SKELTON BK DS RD BR BY BEACH,2011-01-11T10:33:00,631,13.7,4.42,7.39,1,16000,,,,,,,7600,,,20000,7600,,
NE-45600076,SALTBURN GILL U/S SKELTON BECK CONF,2011-01-11T10:25:00,671,13.5,4.57,7.55,1,18400,,,,,,,1920,,,23000,2400,,
NE-45600179,SKELTON BK 3M U/S SALTBURN GILL CONF,2011-01-11T10:21:00,617,13.3,4.36,7.1,1,16727,,,,,,,11454,,,20909,12727,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-01-10T13:55:00,578,11.8,4.3,7.6,1,10000,,,,,,,7800,,,10000,7800,,
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-01-10T13:45:00,621,10.6,5.3,7.6,1,88000,,,,,,,57000,,,88000,57000,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-01-10T13:33:00,744,10.4,4.1,7.6,1,3500,,,,,,,2700,,,3500,2700,,
NW-88003186,CARR BROOK AT A59 ROAD,2011-01-10T13:15:00,560,11.7,4.3,7.6,1,1000,,,,,,,280,,,1000,350,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-01-10T12:40:00,626,12.6,4,7.67,1,9600,,,,,,,3870,,,16000,4300,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-01-10T12:25:00,668,12.3,4.7,7.5,1,10000,,,,,,,3300,,,20000,3300,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-01-10T11:30:00,678,10.4,3,7.3,1,3500,,,,,,,655,,,3500,1091,,
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-01-10T10:30:00,873,11.2,3,7.3,1,3780,,,,,,,531,,,4200,590,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2010-12-15T12:29:00,32159,11,1.75,8.05,40.3,946,,,,,,,620,,,1182,620,,
SO-E0001201,GREAT STOUR SPORTS GROUND L/W,2010-11-16T11:23:00,2604,9.05,8.46,7.78,31.2,,,,3398,,,,3219,,,,3577,,
NW-88003187,LONGTON BROOK AT GRANGE LANE,2010-11-10T14:10:00,425,10.1,7.3,7.4,1,2380,,,,,,,1527,,,3400,1909,,
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2010-11-10T14:00:00,445,9.53,7.7,7.4,1,9000,,,,,,,5900,,,10000,5900,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2010-11-10T13:55:00,516,8.72,7.6,7.35,1,6400,,,,,,,1472,,,6400,1636,,
NW-88003186,CARR BROOK AT A59 ROAD,2010-11-10T13:40:00,434,9.29,7.2,7.4,1,5490,,,,,,,3990,,,6100,5700,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2010-11-10T13:25:00,731,10.6,7.2,7.5,1,5000,,,5900,,,,5900,,,23000,5900,,
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2010-11-10T13:05:00,518,10.6,7.8,7.5,1,8400,,,,,,,3780,,,14000,4200,,
SW-81921166,RUAN RIVER AT RUAN BRIDGE,2010-11-10T12:25:00,763,8.26,6.9,7.14,1,2880,,,,,,,1145,,,2000,1818,,
SW-70710338,RIVER DART AT LOWER GURROW POINT,2010-11-10T12:23:00,616,8.85,10.709,8.147,1,20000,,,,,,,1200,,,20000,1200,,
NW-88003186,CARR BROOK AT A59 ROAD,2010-10-22T13:30:00,615,7.85,11.4,7.86,1,9600,,,,,,,5460,,,24000,7800,,
SW-81111865,TORY BROOK AT PORTWORTHY BRIDGE,2010-10-22T13:20:00,556,8.28,10.3,5.97,1,11400,,,,,,,3060,,,10,10,,
NW-88022688,"WALMER BROOK, HALL CARR LANE",2010-10-22T13:10:00,642,5.89,10.6,7.8,1,9100,,,,,,,582,,,13000,1455,,
SO-DUMPPEVE,DUMP PEVENSEY,2010-10-22T13:00:00,543,8.54,9.62,7.6,5.3,32000,,,,,,,5400,,,3200,108,,
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2010-10-22T12:33:00,13250,10.8,9.8,7.8,1,31500,,,,,,,5000,,,45000,8000,,
SW-50039999,MISCELLANEOUS POOL-WEYMOUTH CATCHMENT,2010-10-22T12:10:00,724,9.11,11.1,7.81,1,38400,,,,,,,6500,,,7900,1182,,
NW-88022685,THE SLUICE U/S CROSSENS PS,2010-10-22T11:15:00,812,7.68,9.3,7.79,1,36000,,,,,,,791,,,60000,7909,,
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2010-10-22T10:53:00,952,7.01,9.2,7.69,1,2950,,,,,,,545,,,5900,727,,
AN-62M01,R.OUSE THE POINT KINGS LYNN,2010-10-20T16:13:00,19793,9.27,10.04,8.11,0.2,2000,,,,,,,146,,,8000,1455,,
NW-88002884,RIVER ALT ABOVE ALTMOUTH PUMPING STATION,2010-10-13T14:30:00,904,6.7,10.8,7.56,1,21700,,,,,,,5500,,,31000,11000,,
AN-WELL280T,R.WELLAND TINWELL PUMPING STATION,2010-10-13T11:55:00,800,8.1,12.03,7.47,6.7,,,,,,,,,,,4000,1273,,
SW-81942210,RIVER KENWYN AT KENWYN GAUGING STATION,2010-10-07T10:30:00,282,10.6,12.21,7.29,0.17,955,630,,504,,,,350,,,16000,12000,,
SO-DUMPROTH,DUMP ROTHER,2010-09-29T12:10:00,367,9.75,12.63,7.66,3.9,,,,,,,,,,,6500,2560,,
SO-F0001974,EAST STREAM BARNHORN BRIDGE,2010-09-29T11:23:00,364,10.8,12.57,7.18,4.7,,,,780,,,,,,,790,769,,
