sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,TurbidityNTU,Tot Coli CMF,E.coli Pres,E.coli Conf,E.coli C-MF,E.coli PMF,Colfm PMF10,E.coli C-MPN,ColfmF Conf,Colfrm Conf,ColfmF MF10,ColformsPre,F Coli Pre,,
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-09-29T14:57:00,541,10.4,16.9,7.81,4.6,,,,910,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-09-29T12:56:00,565,9.73,16.4,7.37,2.3,,,,280,,,,,,,,,,
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-09-29T12:21:00,832,8.75,15.8,7.79,3.5,,,,1200,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-09-29T10:45:00,430,8.21,15.2,7.73,7.9,,,,6700,,,,,,,,,,
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-09-28T13:20:00,95,7.81,13.6,6.21,1,,,,330,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-09-28T11:30:00,69,10.2,12.8,7.01,1,,,,150,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-09-28T11:15:00,77,9.76,12.1,6.85,1,,,,110,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-09-28T10:45:00,91,10.3,13.1,7.73,1,,,,45,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2023-09-28T10:00:00,111,10.4,13.2,7.71,2.3,,,,2100,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-09-28T09:18:00,417,9.19,14.3,7.9,12,,,,1600,,,,,,,,,,
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-09-27T12:27:00,218,10.1,15,7.26,17,,,,1200,,,,,,,,,,
NW-88004563,LEVEN AT LOW WOOD BRIDGE HAVERTHWAITE,2023-09-26T14:40:00,68,10.1,15.8,7.23,1.5,,,,81,,,,,,,,,,
NW-88004590,RIVER CRAKE AT WATER YEAT,2023-09-26T13:55:00,57,9.14,14.7,6.87,1,,,,54,,,,,,,,,,
SW-70920104,RIVER ERME AT SEQUERS BRIDGE,2023-09-22T11:40:00,122,9.93,12.8,8.13,1.3,,,,2000,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-09-21T10:33:00,1430,7.14,18,8.76,3,,,,100,,,,,,,,,,
MD-54520250,RIVER DOVE  DOVEDALE,2023-09-21T10:27:00,379,10.9,11,7.99,9,,,,3500,,,,,,,,,,
SW-50034689,BOWLEAZE COVE (20400),2023-09-21T10:15:00,257,9.54,19,7.67,34,,,,54,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-09-14T09:08:00,102,10.1,14.4,7.08,1.1,,,,210,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-09-13T15:26:00,77,9.84,15.6,6.88,1,,,,140,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-09-13T10:45:00,1454,8.71,20.5,8.95,6.3,,,,91,,,,,,,,,,
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-09-08T10:40:00,663,8.97,15.7,6.13,2.9,,,,120,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-09-07T13:06:00,283,7.99,19,9.36,2.6,,,,530,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-09-07T11:25:00,1411,11.9,23,9.1,8.1,,,,64,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-09-07T10:31:00,89,9.66,16.2,7.14,1.1,,,,240,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-09-05T15:05:00,73,9.06,18.5,6.69,2.7,,,,27,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-09-05T14:45:00,76,9.75,16.9,6.18,1,,,,580,,,,,,,,,,
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2023-09-05T12:00:00,590,9.48,16.3,8.35,3.5,,,,390,,,,,,,,,,
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2023-09-05T11:21:00,840,8.91,16.6,8.16,1,,,,230,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2023-09-05T09:05:00,426,9.16,14,8.07,5.7,,,,630,,,,,,,,,,
