Temperature (C),Disolved Oxygen (mg/l),pH,Conductivity (micro_mhos/cm),Turbidity (NTU),Fecal Coliform (MPN/100ml)
30.8,4.0,7.1,268,47.2,5421
30.6,4.0,7.1,253,46.7,5402
31.0,3.9,7.2,286,47.0,5472
30.3,4.0,7.2,256,46.6,5462
31.1,3.9,7.3,282,46.8,5376
32.3,3.8,7.3,320,47.3,5383
30.5,4.0,7.3,272,43.2,5374
30.1,3.9,7.2,265,43.6,5490
30.1,3.9,7.2,255,44.3,5418
30.5,4.0,7.2,245,45.8,5416
30.1,3.9,7.0,266,44.9,5412
30.1,3.9,7.0,257,45.1,5498
31.6,3.9,7.2,271,46.2,5481
30.5,4.0,7.2,262,45.4,5462
30.4,4.0,7.4,253,44.6,5472
30.4,4.0,7.4,242,46.7,5483
30.5,4.0,7.5,244,47.4,5465
31.5,3.9,7.5,277,46.3,5392
31.5,3.9,7.5,289,45.4,5372
32.3,3.8,7.6,232,47.4,5385
32.4,3.9,7.6,234,46.9,5307
31.8,3.9,7.6,310,47.3,5384
30.1,4.0,7.8,253,43.2,5391
30.5,4.0,7.8,256,43.6,5465
30.1,4.0,7.8,257,44.3,5493
30.1,4.0,7.8,260,45.8,5481
31.6,3.9,7.7,264,44.9,5419
31.5,3.9,7.7,272,45.1,5386
31.4,3.9,7.7,275,45.3,5378
32.4,3.8,7.7,332,45.9,5261
32.2,3.8,7.7,329,46.3,5236
32.7,3.8,7.7,342,46.4,5231
33.4,3.7,7.9,345,46.7,5283
33.5,3.7,7.9,347,46.8,5211
33.5,3.7,7.9,359,47.1,5211
33.2,3.7,7.9,320,47.7,5201
32.9,3.8,7.9,334,47.4,5243
32.8,3.8,8.0,316,46.9,5245
32.5,3.8,7.9,342,47.3,5263
32.5,3.8,7.9,329,46.2,5283
32.4,3.8,7.8,354,45.6,5262
32.3,3.8,7.8,329,47.3,5231
32.3,3.8,7.5,345,49.0,5292
32.2,3.8,7.5,355,48.9,5261
32.5,3.8,7.4,343,47.4,5298
31.5,3.9,7.4,298,47.9,5391
31.5,4.0,7.2,273,48.3,5372
30.5,4.0,7.2,269,46.5,5399
30.8,4.0,7.2,257,46.3,5417
30.6,4.0,7.3,246,45.8,5423
31.0,3.9,7.3,266,45.3,5354
30.3,4.0,7.3,255,44.8,5398
31.1,3.9,7.4,265,44.6,5376
32.3,3.8,7.4,335,45.8,5301
30.5,4.0,7.5,269,45.7,5393
30.1,4.0,7.5,257,45.2,5427
30.1,4.0,7.6,246,44.5,5462
30.2,4.0,7.6,242,44.1,5465
30.4,4.0,7.8,240,43.4,5487
30.4,4.0,7.8,256,43.2,5482
30.4,4.0,7.6,247,46.5,5519
30.5,4.0,7.6,252,46.3,5528
30.8,4.0,7.6,248,45.8,5564
30.6,3.9,7.2,262,45.3,5514
31.0,3.9,7.2,270,44.5,5428
30.3,4.0,7.0,242,44.6,5498
31.1,3.9,7.0,302,45.8,5452
32.3,3.8,7.0,333,45.7,5389
30.5,3.9,7.0,261,45.6,5534
30.1,4.0,7.0,258,44.9,5571
30.1,4.0,7.1,247,44.2,5517
30.4,4.0,7.1,243,43.4,5526
30.8,4.0,7.1,241,43.2,5598
30.6,4.0,7.1,257,44.0,5566
31.0,3.9,7.2,248,44.9,5445
30.9,4.0,7.2,251,43.8,5503
31.1,3.9,7.3,290,44.3,5453
32.9,3.8,7.3,312,44.8,5398
30.8,4.0,7.3,249,45.2,5433
30.1,3.8,8.1,240,46.7,5442
30.1,3.6,7.8,237,47.0,5403
31.6,3.7,7.8,247,46.5,5447
32.9,3.8,7.8,251,46.8,5396
30.2,4.0,7.0,249,43.9,5436
30.7,4.0,7.4,264,44.2,5472
30.8,4.0,7.4,245,43.1,5423
31.0,3.9,7.8,315,43.2,5417
32.3,3.8,8.0,333,43.5,5368
33.1,3.7,8.0,376,47.0,5267
34.0,3.6,8.0,379,47.5,5293
34.2,3.6,8.1,381,47.9,5135
34.4,3.6,8.1,382,46.1,5135
35.5,3.5,8.1,384,46.7,5083
36.2,3.4,8.2,387,46.9,4986
36.9,3.4,8.2,388,47.4,4957
37.0,3.3,8.2,393,47.4,4956
36.7,3.4,8.2,399,46.9,4898
35.8,3.5,8.1,389,46.3,4895
34.9,3.5,8.0,380,44.0,4967
33.0,3.7,7.8,378,43.6,4983
33.1,3.7,7.8,364,43.4,4956
32.5,3.8,7.5,335,43.3,5103
31.5,3.9,7.5,277,43.9,5238
31.5,3.9,7.3,296,46.7,5157
32.8,3.8,7.3,342,46.5,5032
32.8,3.8,7.3,329,44.0,5034
31.4,3.9,7.0,321,44.3,5068
31.2,3.9,7.0,318,47.4,5295
31.2,3.9,7.0,316,48.7,5383
32.3,3.8,7.2,354,48.3,5373
32.4,3.8,7.2,329,47.0,5232
32.6,3.8,7.2,345,46.5,5214
32.6,3.8,7.2,355,46.8,5211
31.8,3.9,7.2,322,45.2,5147
31.1,3.9,7.2,328,43.4,5243
30.9,4.0,7.0,256,43.2,5394
30.9,4.0,7.0,245,46.1,5441
31.4,3.9,7.2,323,46.1,5375
31.9,3.9,7.2,289,44.1,5234
32.6,3.9,7.4,335,46.5,5104
34.4,3.6,7.4,364,46.8,5003
35.5,3.5,7.8,374,45.2,4967
36.2,3.4,7.8,382,47.4,4925
36.9,3.4,8.0,384,48.7,4983
37.0,3.3,8.0,386,48.3,4835
37.8,3.3,8.1,389,47.0,4812
38.0,3.2,8.2,398,47.4,4821
37.5,3.3,8.2,404,48.6,4889
37.4,3.3,8.1,400,48.5,4822
36.7,3.4,8.0,395,49.1,4913
35.8,3.5,7.8,394,48.8,4923
34.3,3.6,7.7,393,49.0,4945
34.2,3.6,7.7,381,49.2,4928
33.8,3.7,7.7,380,48.6,5013
32.6,3.8,7.5,355,48.1,5103
31.8,3.9,7.5,325,46.5,5137
31.1,3.9,7.5,308,46.3,5282
30.9,4.0,7.2,261,45.8,5285
30.9,4.0,7.2,267,45.3,5384
31.4,3.9,7.2,329,44.8,5359
31.9,3.9,7.5,328,44.6,5342
32.6,3.8,7.5,341,45.8,5324
33.4,3.7,7.8,348,45.9,5234
33.7,3.7,7.8,353,45.6,5142
33.7,3.7,7.8,320,44.9,5023
32.6,3.7,7.8,344,44.2,5035
31.8,3.9,7.6,306,43.4,5137
31.1,3.9,7.6,301,43.2,5197
30.9,4.0,7.5,338,46.1,5289
30.9,4.0,7.5,342,46.9,5385
31.4,3.9,7.6,320,45.1,5294
31.9,3.9,7.6,310,45.8,5148
32.6,3.8,7.6,248,44.7,5294
31.8,3.9,7.2,325,45.3,5273
31.8,3.9,7.2,323,45.2,5283
32.5,3.8,7.2,249,46.4,5281
32.6,3.8,7.3,247,46.9,5159
33.2,3.7,7.3,351,47.1,5152
34.4,3.6,7.5,374,47.2,5102
35.5,3.5,7.7,382,47.4,4984
36.2,3.4,7.6,387,48.2,4926
36.9,3.4,7.6,386,48.3,4952
37.0,3.3,7.7,391,47.0,4896
37.8,3.3,7.7,397,47.4,4896
38.0,3.2,7.7,405,48.5,4884
