PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Cond @ 25C,Oxygen Diss,Temp Water,pH,cos_day_of_year,sin_day_of_year,Cond @ 25C_x_Oxygen Diss,Cond @ 25C_x_Temp Water,Cond @ 25C_x_pH,Cond @ 25C_x_cos_day_of_year,Cond @ 25C_x_sin_day_of_year,Oxygen Diss_x_Temp Water,Oxygen Diss_x_pH,Oxygen Diss_x_cos_day_of_year,Oxygen Diss_x_sin_day_of_year,Temp Water_x_pH,Temp Water_x_cos_day_of_year,Temp Water_x_sin_day_of_year,pH_x_cos_day_of_year,pH_x_sin_day_of_year,cos_day_of_year_x_sin_day_of_year,E.coli C-MF
-0.070860298479039,-0.011977368281886,0.03155897749702,-0.127422048516011,-0.047564368377916,-0.229489932097509,-0.068380520433552,3.11289408694326E-16,916,2.67,7,7.5,0.639211653138059,0.769030859258918,2445.72,6412,6870,585.517874274462,704.432267081169,18.69,20.025,1.70669511387862,2.05331239422131,52.5,4.47448157196641,5.38321601481243,4.79408739853544,5.76773144444189,0.491573486861075,73
-0.068013608210938,-0.011323926938467,0.029709897205516,-0.117757399371554,-0.042706790739786,-0.195131130167178,-0.042790888608783,4.22015207797349E-16,551,11.9,8.1,8.11,0.390368214676303,0.920658816810243,6556.9,4463.1,4468.61,215.092886286643,507.283008062444,96.39,96.509,4.64538175464801,10.9558399200419,65.691,3.16198253887805,7.45733641616297,3.16588622102482,7.46654300433107,0.359395938644212,290
-0.071458473302799,-0.012117211768684,0.031956761559149,-0.1295485238576,-0.048671573786433,-0.23786667226307,-0.077670112956462,-3.78159339408664E-16,508,12.9,7.6,8.32,0.390368214676303,0.920658816810243,6553.2,3860.8,4226.56,198.307053055562,467.694678939603,98.04,107.328,5.03574996932431,11.8764987368521,63.232,2.9667984315399,6.99700700775785,3.24786354610684,7.65988135586122,0.359395938644212,670
-0.245641978314693,-0.629599209752297,-0.543712097439115,0.322397111882567,0.050946028391515,0.115126622097339,0.007460015689372,-1.53563301212178E-17,1035,8.32,8.9,7.76,0.05695219603404,0.998376906467142,8611.2,9211.5,8031.6,58.9455228952314,1033.32009819349,74.048,64.5632,0.473842271003213,8.30649586180662,69.064,0.506874544702956,8.88555446755756,0.44194904122415,7.74740479418502,0.056859757292975,91
0.887398996853239,0.024504838452624,-0.052100159783356,0.114027103166301,0.024586700395668,0.064774986658674,0.004739165545527,-2.44830054045453E-18,1178,14.9,10.9,8.16,0.05695219603404,0.998376906467142,17552.2,12840.2,9612.48,67.0896869280991,1176.08799581829,162.41,121.584,0.848587720907196,14.8758159063604,88.944,0.620778936771036,10.8823082804918,0.464729919637766,8.14675555677188,0.056859757292975,350
-0.071458473302799,-0.012117211768684,0.031956761559149,-0.1295485238576,-0.048671573786433,-0.23786667226307,-0.077670112956462,-3.78159339408664E-16,360,11.8,8.4,7.91,-0.283138981228184,0.959078890034113,4248,3024,2847.6,-101.930033242146,345.268400412281,99.12,93.338,-3.34103997849257,11.3171309024025,66.444,-2.37836744231675,8.05626267628655,-2.23962934151494,7.58631402016983,-0.271552619841716,120
0.887398996853239,0.024504838452624,-0.052100159783356,0.114027103166301,0.024586700395668,0.064774986658674,0.004739165545527,-2.44830054045453E-18,921,12.3,11.5,8.14,-0.518505144391157,0.855074508589693,11328.3,10591.5,7496.94,-477.543237984256,787.523622411107,141.45,100.122,-6.37761327601123,10.5174164556532,93.61,-5.96280916049831,9.83335684878147,-4.22063187534402,6.9603064999201,-0.443360531541496,320
-0.245641978314693,-0.629599209752297,-0.543712097439115,0.322397111882567,0.050946028391515,0.115126622097339,0.007460015689372,-1.53563301212178E-17,1004,6.07,13.4,7.5,-0.855631485848871,0.517585510253189,6094.28,13453.6,7530,-859.054011792267,519.655852294202,81.338,45.525,-5.19368311910265,3.14174404723686,100.5,-11.4654619103749,6.93564583739273,-6.41723614386653,3.88189132689892,-0.442862459191782,72
0.887398996853239,0.024504838452624,-0.052100159783356,0.114027103166301,0.024586700395668,0.064774986658674,0.004739165545527,-2.44830054045453E-18,1171,11,17.1,7.9,-0.855631485848871,0.517585510253189,12881,20024.1,9250.9,-1001.94446992903,606.092632506484,188.1,86.9,-9.41194634433758,5.69344061278508,135.09,-14.6312984080157,8.85071222532953,-6.75948873820608,4.08892553100019,-0.442862459191782,110
-0.070860298479039,-0.011977368281886,0.03155897749702,-0.127422048516011,-0.047564368377916,-0.229489932097509,-0.068380520433552,3.11289408694326E-16,447,0.956,14,7.22,-0.872929070820641,0.487847145442312,427.332,6258,3227.34,-390.199294656826,218.067674012713,13.384,6.90232,-0.834520191704533,0.46638187104285,101.08,-12.221006991489,6.82986003619237,-6.30254789132503,3.52225639009349,-0.42585595537346,64
-0.071458473302799,-0.012117211768684,0.031956761559149,-0.1295485238576,-0.048671573786433,-0.23786667226307,-0.077670112956462,-3.78159339408664E-16,563,9.38,12.4,8,-0.925211078289358,0.379452843724544,5280.94,6981.2,4504,-520.893837076909,213.631951016918,116.312,75.04,-8.67847991435418,3.55926767413622,99.2,-11.472617370788,4.70521526218435,-7.40168862631486,3.03562274979635,-0.351073974702349,160
-0.068013608210938,-0.011323926938467,0.029709897205516,-0.117757399371554,-0.042706790739786,-0.195131130167178,-0.042790888608783,4.22015207797349E-16,351,8.86,12.3,7.7,-0.925211078289358,0.379452843724544,3109.86,4317.3,2702.7,-324.749088479565,133.187948147315,108.978,68.222,-8.19737015364371,3.36195219539946,94.71,-11.3800962629591,4.66726997781189,-7.12412530282806,2.92178689667899,-0.351073974702349,82
-0.070272055094752,-0.011840715806369,0.031170974574266,-0.12536425587662,-0.046506417042578,-0.22168311398679,-0.061075675415615,-7.81702302910277E-16,453,9.27,12.4,7.9,-0.925211078289358,0.379452843724544,4199.31,5617.2,3578.7,-419.120618465079,171.892138207218,114.948,73.233,-8.57670669574235,3.51752786132652,97.96,-11.472617370788,4.70521526218435,-7.30916751848593,2.9976774654239,-0.351073974702349,118
-0.071458473302799,-0.012117211768684,0.03195676155915,-0.1295485238576,-0.048671573786433,-0.23786667226307,-0.07767011295646,1.01189335299218E-15,288,3.67,13.1,7.48,-0.959382752949074,0.282107662681919,1056.96,3772.8,2154.24,-276.302232849333,81.2470068523927,48.077,27.4516,-3.5209347033231,1.03533512204264,97.988,-12.5679140636329,3.69561038113314,-7.17618299205907,2.11016531686075,-0.270649226051808,72
-0.245641978314693,-0.629599209752297,-0.543712097439115,0.322397111882567,0.050946028391515,0.115126622097339,0.007460015689372,-1.53563301212178E-17,1022,7.01,12.6,7.52,-0.980070913143267,0.198647942880171,7164.22,12877.2,7685.44,-1001.63247323242,203.018197623535,88.326,52.7152,-6.8702971011343,1.39252207959,94.752,-12.3488935056052,2.50296408029015,-7.37013326683737,1.49383253045889,-0.194689070772601,73
0.887398996853239,0.024504838452624,-0.052100159783356,0.114027103166301,0.024586700395668,0.064774986658674,0.004739165545527,-2.44830054045453E-18,1113,9.09,14,7.75,-0.980070913143267,0.198647942880171,10117.17,15582,8625.75,-1090.81892632846,221.09516042563,127.26,70.4475,-8.9088446004723,1.80570980078075,108.5,-13.7209927840057,2.78107120032239,-7.59554957686032,1.53952155732133,-0.194689070772601,91
-0.071458473302799,-0.012117211768684,0.03195676155915,-0.1295485238576,-0.048671573786433,-0.23786667226307,-0.07767011295646,1.01189335299218E-15,410,4.89,14.7,7.59,-0.998980624694158,0.045141017773972,2004.9,6027,3111.9,-409.582056124605,18.5078172873285,71.883,37.1151,-4.88501525475443,0.220739576914723,111.573,-14.6850151830041,0.663572961277388,-7.58226294142866,0.342620324904447,-0.045095002135173,73
-0.070860298479039,-0.011977368281886,0.03155897749702,-0.127422048516011,-0.047564368377916,-0.229489932097509,-0.068380520433552,3.11289408694326E-16,496,1.39,14.9,7.42,-0.998980624694158,0.045141017773972,689.44,7390.4,3680.32,-495.494389848302,22.3899448158901,20.711,10.3138,-1.38858306832488,0.062746014705821,110.558,-14.884811307943,0.672601164832183,-7.41243623523065,0.334946351882872,-0.045095002135173,72
0.887398996853239,0.024504838452624,-0.052100159783356,0.114027103166301,0.024586700395668,0.064774986658674,0.004739165545527,-2.44830054045453E-18,981,7.5,16.2,7.93,-0.898825465016444,-0.438306723012519,7357.5,15892.2,7779.33,-881.747781181132,-429.978895275281,121.5,59.475,-6.74119098762333,-3.28730042259389,128.466,-14.5609725332664,-7.10056891280281,-7.1276859375804,-3.47577231348928,0.393961244131561,126
-0.070272055094752,-0.011840715806369,0.031170974574266,-0.12536425587662,-0.046506417042578,-0.22168311398679,-0.061075675415615,-7.81702302910277E-16,444,9.07,14.9,8.5,-0.848882665221455,-0.528581328355929,4027.08,6615.6,3774,-376.903903358326,-234.690109790032,135.143,77.095,-7.6993657735586,-4.79423264818828,126.65,-12.6483517117997,-7.87586179250334,-7.21550265438237,-4.4929412910254,0.448703526801078,727
-0.070860298479039,-0.011977368281886,0.03155897749702,-0.127422048516011,-0.047564368377916,-0.229489932097509,-0.068380520433552,3.11289408694326E-16,617,1.4,15.3,7.43,-0.810530999019482,-0.585695739807351,863.8,9440.1,4584.31,-500.09762639502,-361.374271461136,21.42,10.402,-1.13474339862727,-0.819974035730291,113.679,-12.4011242849981,-8.96114481905247,-6.02224532271475,-4.35171934676862,0.474724553107507,72
-0.071458473302799,-0.012117211768684,0.03195676155915,-0.1295485238576,-0.048671573786433,-0.23786667226307,-0.07767011295646,1.01189335299218E-15,727,3.51,16,7.47,-0.810530999019482,-0.585695739807351,2551.77,11632,5430.69,-589.256036287163,-425.800802839944,56.16,26.2197,-2.84496380655838,-2.0557920467238,119.52,-12.9684959843117,-9.37113183691762,-6.05466656267553,-4.37514717636091,0.474724553107507,72
-0.245641978314693,-0.629599209752297,-0.543712097439115,0.322397111882567,0.050946028391515,0.115126622097339,0.007460015689372,-1.53563301212178E-17,1016,5.01,16,7.2,-0.634237439397805,-0.773138325570603,5090.16,16256,7315.2,-644.38523842817,-785.508538779733,80.16,36.072,-3.177529571383,-3.87342301110872,115.2,-10.1477990303649,-12.3702132091296,-4.5665095636642,-5.56659594410834,0.490353271910206,63
0.887398996853239,0.024504838452624,-0.052100159783356,0.114027103166301,0.024586700395668,0.064774986658674,0.004739165545527,-2.44830054045453E-18,1294,7.91,17.8,7.95,-0.634237439397805,-0.773138325570603,10235.54,23033.2,10287.3,-820.70324658076,-1000.44099328836,140.798,62.8845,-5.01681814563664,-6.11552415526347,141.51,-11.2894264212809,-13.7618621951567,-5.04218764321255,-6.14644968828629,0.490353271910206,130
-0.071458473302799,-0.012117211768684,0.03195676155915,-0.1295485238576,-0.048671573786433,-0.23786667226307,-0.07767011295646,1.01189335299218E-15,369,5.38,15.5,7.53,-0.507430281082752,-0.861692816402852,1985.22,5719.5,2778.57,-187.241773719536,-317.964649252652,83.39,40.5114,-2.72997491222521,-4.63590735224734,116.715,-7.86516935678266,-13.3562386542442,-3.82095001655312,-6.48854690751348,0.437249028034287,73
-0.070860298479039,-0.011977368281886,0.03155897749702,-0.127422048516011,-0.047564368377916,-0.229489932097509,-0.068380520433552,3.11289408694326E-16,351,2.74,15.5,7.45,-0.507430281082752,-0.861692816402852,961.74,5440.5,2614.95,-178.108028660046,-302.454178557401,42.47,20.413,-1.39035897016674,-2.36103831694381,115.475,-7.86516935678266,-13.3562386542442,-3.7803555940665,-6.41961148220125,0.437249028034287,72
-0.070272055094752,-0.011840715806369,0.031170974574266,-0.12536425587662,-0.046506417042578,-0.22168311398679,-0.061075675415615,-7.81702302910277E-16,966,9.8,16.2,8.7,-0.446983429519674,-0.89454223697645,9466.8,15649.2,8404.2,-431.785992916005,-864.127800919251,158.76,85.26,-4.38043760929281,-8.76651392236921,140.94,-7.24113155821872,-14.4915842390185,-3.88875583682116,-7.78251746169511,0.399845556933935,750
